Sample;Ch1;Ch2
0;0.01953125;0.017578125
1;0.01953125;0.021484375
2;0.017578125;0.013671875
3;0.025390625;0.017578125
4;0.021484375;0.017578125
5;0.013671875;0.01953125
6;0.0234375;0.01953125
7;0.017578125;0.01953125
8;0.015625;0.01953125
9;0.017578125;0.017578125
10;0.017578125;0.013671875
11;0.01953125;0.017578125
12;0.015625;0.025390625
13;0.013671875;0.0234375
14;0.017578125;0.01953125
15;0.01953125;0.017578125
16;0.021484375;0.01171875
17;0.01171875;0.013671875
18;0.013671875;0.021484375
19;0.017578125;0.017578125
20;0.01953125;0.017578125
21;0.025390625;0.005859375
22;0.017578125;0.009765625
23;0.01953125;0.013671875
24;0.013671875;0.021484375
25;0.013671875;0.0234375
26;0.01953125;0.015625
27;0.015625;0.01171875
28;0.017578125;0.015625
29;0.017578125;0.015625
30;0.017578125;0.013671875
31;0.021484375;0.021484375
32;0.017578125;0.01953125
33;0.021484375;0.025390625
34;0.017578125;0.017578125
35;0.01953125;0.017578125
36;0.013671875;0.015625
37;0.013671875;0.013671875
38;0.013671875;0.01953125
39;0.021484375;0.01953125
40;0.015625;0.017578125
41;0.013671875;0.01171875
42;0.015625;0.01953125
43;0.01953125;0.01171875
44;0.017578125;0.015625
45;0.021484375;0.015625
46;0.017578125;0.013671875
47;0.015625;0.017578125
48;0.01953125;0.01953125
49;0.01953125;0.015625
50;0.015625;0.013671875
51;0.01953125;0.0234375
52;0.015625;0.025390625
53;0.01953125;0.017578125
54;0.013671875;0.025390625
55;0.017578125;0.015625
56;0.013671875;0.017578125
57;0.021484375;0.017578125
58;0.0234375;0.01171875
59;0.021484375;0.017578125
60;0.015625;0.013671875
61;0.0234375;0.013671875
62;0.01953125;0.013671875
63;0.015625;0.015625
64;0.015625;0.01953125
65;0.015625;0.013671875
66;0.01171875;0.013671875
67;0.01953125;0.021484375
68;0.013671875;0.021484375
69;0.017578125;0.01953125
70;0.013671875;0.021484375
71;0.0234375;0.015625
72;0.013671875;0.015625
73;0.015625;0.017578125
74;0.017578125;0.013671875
75;0.013671875;0.013671875
76;0.017578125;0.015625
77;0.017578125;0.021484375
78;0.013671875;0.009765625
79;0.013671875;0.017578125
80;0.01171875;0.021484375
81;0.0234375;0.017578125
82;0.017578125;0.015625
83;0.01953125;0.013671875
84;0.017578125;0.017578125
85;0.015625;0.013671875
86;0.01953125;0.01953125
87;0.01171875;0.01953125
88;0.01953125;0.01171875
89;0.0234375;0.013671875
90;0.01953125;0.021484375
91;0.015625;0.01171875
92;0.01953125;0.013671875
93;0.013671875;0.021484375
94;0.013671875;0.017578125
95;0.013671875;0.015625
96;0.015625;0.01953125
97;0.015625;0.015625
98;0.017578125;0.015625
99;0.01171875;0.013671875
100;0.013671875;0.017578125
101;0.015625;0.015625
102;0.01953125;0.017578125
103;0.01171875;0.017578125
104;0.01171875;0.013671875
