#BEGINNING OF FILE,,,,,,
# Recording start time: 2021-11-09T16:30:45.439383,,,,,,
# ,,,,,,
#timestamp, rms ch1, std ch1, rms ch2, std ch2, sled power, sled power std
31:45.8,0.727352718,0.003408123,0.447657667,0.002235656,-0.020778601,0.001919093
32:45.9,0.728785656,0.00380826,0.448716781,0.002552368,-0.019946816,0.002176161
33:46.0,0.726633203,0.001733457,0.447151187,0.001171087,-0.021199496,0.000991901
34:46.2,0.72829299,0.002000436,0.448185558,0.001347244,-0.020276586,0.001155946
35:46.3,0.729200475,0.002494961,0.448753857,0.001672656,-0.019783308,0.001406242
36:46.4,0.728715378,0.003258202,0.448378443,0.002200248,-0.020129844,0.001871604
37:46.5,0.725347677,0.001893115,0.446009797,0.001276613,-0.022038171,0.001092457
38:46.6,0.727540745,0.003124467,0.447426613,0.002100739,-0.020820478,0.001768463
39:46.8,0.729118475,0.002807181,0.448434899,0.001886242,-0.019977162,0.001599966
40:46.9,0.726718009,0.003435604,0.446741133,0.002322994,-0.021343904,0.001964774
41:47.0,0.72682479,0.002593881,0.446797119,0.001742971,-0.021307894,0.001481257
42:47.1,0.727998168,0.002153396,0.447555192,0.001443639,-0.020698439,0.00122558
43:47.2,0.726027281,0.002747736,0.446202642,0.001846591,-0.021829469,0.001563961
44:47.4,0.729995618,0.002638645,0.448854104,0.001775416,-0.01966267,0.001502129
45:47.5,0.729061697,0.001769623,0.44815386,0.001193482,-0.020278409,0.001015665
46:47.6,0.731561707,0.001820008,0.44992299,0.001238191,-0.018914413,0.001060408
47:47.7,0.727982383,0.001769058,0.447641829,0.001208248,-0.020944268,0.001013553
48:47.8,0.730034296,0.001648265,0.449225841,0.001097322,-0.019811256,0.000944799
49:48.0,0.730916875,0.002043662,0.449835385,0.001410179,-0.019359479,0.001203854
50:48.1,0.728557849,0.002204723,0.448220751,0.001501488,-0.020688265,0.001273392
51:48.2,0.730863974,0.002197844,0.449848121,0.001479478,-0.019377453,0.001270091
52:48.3,0.726951962,0.002243394,0.447119026,0.00152308,-0.021634738,0.001276416
53:48.4,0.727722744,0.001891779,0.4475805,0.001289993,-0.021203375,0.001081994
54:48.6,0.729446412,0.002218965,0.448816313,0.001491625,-0.020270581,0.001265862
55:48.7,0.730094806,0.001368949,0.449323352,0.000919661,-0.019855461,0.00079192
56:48.8,0.730171603,0.001533534,0.449408231,0.001052141,-0.01981812,0.000900989
57:48.9,0.729657434,0.003296732,0.449054563,0.002206091,-0.020130269,0.001860257
58:49.0,0.728729403,0.002365693,0.448337818,0.001565755,-0.020676612,0.001314096
59:49.2,0.7300378,0.002606335,0.449153022,0.001746572,-0.02002252,0.001495943
00:49.3,0.729694964,0.001883796,0.449003725,0.00122798,-0.020221697,0.00104813
01:49.4,0.728798509,0.001358247,0.448440131,0.0009223,-0.020708214,0.000791422
02:49.5,0.72727916,0.002148882,0.447349467,0.001453194,-0.021578929,0.001229082
03:49.6,0.730260136,0.001859604,0.449321343,0.001248819,-0.019962432,0.001065904
04:49.8,0.729023315,0.001397796,0.448505086,0.000947039,-0.02065483,0.000809559
05:49.9,0.728880363,0.002313141,0.448426494,0.001554513,-0.020757674,0.001320561
06:50.0,0.729302223,0.001563341,0.448758003,0.001061909,-0.020514856,0.000889047
07:50.1,0.728535696,0.001597463,0.448292721,0.001086664,-0.020971371,0.000912128
08:50.2,0.729316395,0.002260391,0.448802009,0.00153048,-0.02051834,0.001272979
